title,genre,duration
New Scandinavian Cooking,Cooking,30
Taking the Initiative,Community,30
Demolition Man,Science fiction,120
Animal Atlas,Animals,30
MC R&B Soul,Music,120
Portable cooktop,Consumer,30
Cold Case,Crime drama,60
Shepard Smith Reporting,News,60
The Man With the 200lb Tumor,Special,60
NBA League Pass,Sports non-event,30
Bob the Builder,Children,20
Impractical Jokers,Reality,30
The New Adventures of Old Christine,Sitcom,30
Kitchen Nightmares,Reality,60
Mob Wives,Reality,60
Cold Case Files,Documentary,60
Eyewitness News at 4:30am,News,30
Breakdown,Suspense,90
The Magdalene Sisters,Drama,120
Fury at Gunsight Pass,Western,70
Zoey 101,Children,30
Good Times,Sitcom,30
Your Health with Dr. Richard,Health,60
Triggers: Weapons That Changed the World,Documentary,60
Late Night With Seth Meyers,Talk,61
MC Reggae,Music,120
Fast Joint Relief,Consumer,30
Rival Sons: Live From Gothenburg Sweden,Special,60
Heartland Bowhunter,Sports non-event,30
69 News at Noon,News,30
Match Game,Game show,30
The Fast and the Furious: Tokyo Drift,Action,105
21 Jump Street,Comedy,150
Cheers,Sitcom,30
CBS News Sunday Morning,Talk,90
American Restoration,Reality,30
MC Y2K,Music,240
Factory Made,Science,30
Pocono Landscape Challenge,House/garden,30
Dennis the Menace,Sitcom,30
TV13 Sports Extra,News,180
Hoarding: Buried Alive,Reality,60
Red Eye,Talk,60
Angelina Ballerina: The Next Steps,Children,30
Two and a Half Men,Sitcom,30
69 News at 4:00,News,60
Burn Notice,Crime drama,60
Future Cat,Special,60
The Wayans Bros.,Sitcom,30
Child Genius,Reality,60
Foreigner Peter Frampton Chicago,Consumer,30
30-Minute Meals,Cooking,30
The Pioneers,Outdoors,60
Peter Rabbit,Children,30
HLN Now,Special,60
Making Money With Charles Payne,Bus./financial,60
FOX 29 News at Five,News,60
Happening Now,Talk,60
Sally Bollywood Super Detective,Children,30
Inside Special Ops,Military,60
Monsters Inside Me,Reality,60
Prophets of Science Fiction,Science fiction,60
Hot Shots!,Comedy,90
Last Holiday,Comedy,120
The Worlds End,Comedy,115
Ed Wood,Biography,135
Hot in Cleveland,Sitcom,30
State of Affairs,Drama,60
The Punisher,Action,165
NCIS: Los Angeles,Crime drama,60
The Pioneer Woman,Cooking,30
News 8 at 5:30pm,News,30
Wheel of Fortune,Game show,30
NBC 10 News at 11p,News,34
The OReilly Factor,Talk,60
Step Brothers,Comedy,136
Unforgiven,Western,135
Flashpoint,Crime drama,60
Law & Order: Special Victims Unit,Crime drama,60
Ocean Mysteries With Jeff Corwin,Outdoors,30
Fighting Cancer: Real Stories of Healing,Consumer,30
Shrek 2,Children,120
MC Love Songs,Music,240
Baggage Claim,Romance-comedy,105
Hockey,Sports event,180
Forty Guns,Western,85
Special Agent Oso,Children,30
Sleepy Hollow,Drama,60
Combat School,Outdoors,60
Chicago PD,Crime drama,60
Trick To a Wrinkle-Free Face!,Consumer,30
Texas Justice,Miniseries,240
The Adventures of Rocky and Bullwinkle,Comedy,95
Escape Plan,Action,120
My 600-Lb. Life,Medical,60
Building Off the Grid: Alaska,Special,60
Boomer & Carton,Sports non-event,240
Cook Like a Pro,Consumer,30
Who Wants to Be a Millionaire,Game show,30
Squawk Alley,Bus./financial,60
The Lead With Jake Tapper,Talk,60
Newswatch 16 This Morning,News,30
Kick Buttowski: Suburban Daredevil,Children,30
Swamp Thing,Science fiction,120
The Real Housewives of Atlanta,Reality,60
Guys Grocery Games,Reality,60
FIFA Fútbol Mundial,Sports non-event,30
Digimon Fusion,Children,30
The Kelly File,News,60
Little Man Tate,Drama,105
The Curse of Oak Island,History,60
Walker Texas Ranger,Crime drama,72
Glenn Beck Program,Talk,60
Cold Justice,Reality,60
Access Hollywood Live,Newsmagazine,60
Tignanello Handbags,Shopping,60
Mission to Mars,Science fiction,115
Father Brown,Drama,60
69 News Sunrise - 6:00am,News,30
Moneyball,Drama,180
Commando,Action,95
Pennsylvania Lottery Drawing,Community,1
Shock Treatment,Suspense,95
The Ellen DeGeneres Show,Talk,60
My Skin Is Killing Me,Special,60
UFC 182: Jones vs. Cormier,Sports event,420
Marry Me,Sitcom,30
State House Perspectives,Politics,30
Watch TV For FREE!,Consumer,30
AntiAging Fountain of Youth,Consumer,30
Boy Meets World,Sitcom,30
Up to the Minute,News,295
Eyewitness News,News,60
Nature,Anthology,60
He Said She Said,Romance-comedy,120
Wake Up With Al,Weather,60
Nightline,Talk,30
Teeth,Comedy,95
Justice With Judge Mablean,Reality,30
The Situation Room,Talk,120
The Island of Dr. Moreau,Science fiction,120
TV13 News - Night Report,News,30
Kids Club,Children,30
White Sale,Shopping,60
Donna Decorates Dallas,House/garden,30
100 Orgasms a Day,Special,60
Watch What Happens: Live,Talk,30
Crash,Drama,150
The Pursuit of Happyness,Drama,150
Bad Girls Club: Redemption,Reality,60
MC 90s,Music,120
Meet the Parents,Comedy,105
Two for Tuesday,Music,60
Boyster,Children,30
The Real,Talk,60
